review_id,user_id,restaurant_id,rating,comment,created_at
1,35,9,4,Hơi ít so với hình nhưng ngon,2026-05-01 10:27:01.300168
2,24,1,4,Đồ ăn nóng hổi ngon miệng,2026-05-15 05:42:01.300168
3,78,5,5,"Giao siêu nhanh, shipper dễ thương",2026-04-29 13:30:01.300168
4,17,3,3,"Ăn vừa vị, giá cả hợp lý",2026-04-24 15:39:01.300168
5,68,7,4,Đồ ăn nóng hổi ngon miệng,2026-05-02 12:27:01.300168
6,75,6,4,Đóng gói cẩn thận sạch sẽ,2026-05-18 07:03:01.300168
7,54,10,3,Đồ ăn nóng hổi ngon miệng,2026-04-28 03:37:01.300168
8,41,6,5,"Giao siêu nhanh, shipper dễ thương",2026-04-24 00:45:01.300168
9,33,3,4,Đồ ăn nóng hổi ngon miệng,2026-05-07 09:22:01.300168
10,37,2,5,"Ăn vừa vị, giá cả hợp lý",2026-05-04 20:27:01.300168
11,17,8,5,"Ăn vừa vị, giá cả hợp lý",2026-05-14 06:11:01.300168
12,3,8,5,Đồ ăn nóng hổi ngon miệng,2026-04-26 14:01:01.300168
13,98,6,5,"Giao siêu nhanh, shipper dễ thương",2026-05-12 18:32:01.300168
14,37,5,5,"Giao siêu nhanh, shipper dễ thương",2026-04-19 21:13:01.300168
15,89,8,5,"Ăn vừa vị, giá cả hợp lý",2026-05-18 22:58:01.300168
16,18,10,5,Hơi ít so với hình nhưng ngon,2026-05-15 02:52:01.300168
17,51,2,4,Đồ ăn nóng hổi ngon miệng,2026-05-18 19:33:01.300168
18,8,7,4,Hơi ít so với hình nhưng ngon,2026-05-01 16:59:01.300168
19,84,8,3,"Giao siêu nhanh, shipper dễ thương",2026-04-30 03:25:01.300168
20,51,3,3,Hơi ít so với hình nhưng ngon,2026-04-23 08:24:01.300168
21,85,6,5,Đóng gói cẩn thận sạch sẽ,2026-05-03 14:44:01.300168
22,35,5,4,"Ăn vừa vị, giá cả hợp lý",2026-05-11 15:51:01.300168
23,48,4,3,Đồ ăn nóng hổi ngon miệng,2026-04-25 20:24:01.300168
24,100,2,3,"Ăn vừa vị, giá cả hợp lý",2026-05-12 02:06:01.300168
25,18,6,4,Hơi ít so với hình nhưng ngon,2026-05-19 14:19:01.300168
26,100,9,4,Đồ ăn nóng hổi ngon miệng,2026-05-17 15:11:01.300168
27,73,3,5,"Giao siêu nhanh, shipper dễ thương",2026-04-22 06:31:01.300168
28,99,2,4,Hơi ít so với hình nhưng ngon,2026-04-27 16:56:01.300168
29,33,2,3,Hơi ít so với hình nhưng ngon,2026-05-02 01:30:01.300168
30,74,8,5,Đóng gói cẩn thận sạch sẽ,2026-04-21 12:02:01.300168
31,4,5,5,Đồ ăn nóng hổi ngon miệng,2026-05-03 19:44:01.300168
32,91,1,4,"Giao siêu nhanh, shipper dễ thương",2026-05-03 15:53:01.300168
33,41,4,5,"Ăn vừa vị, giá cả hợp lý",2026-04-22 16:59:01.300168
34,42,2,3,"Giao siêu nhanh, shipper dễ thương",2026-05-19 14:05:01.300168
35,45,3,4,Hơi ít so với hình nhưng ngon,2026-05-01 01:31:01.300168
36,92,7,4,"Giao siêu nhanh, shipper dễ thương",2026-05-04 15:32:01.300168
37,84,4,5,Đóng gói cẩn thận sạch sẽ,2026-05-14 15:11:01.300168
38,70,3,3,"Ăn vừa vị, giá cả hợp lý",2026-05-05 10:54:01.300168
39,86,6,4,"Giao siêu nhanh, shipper dễ thương",2026-05-08 09:25:01.300168
40,88,7,3,"Giao siêu nhanh, shipper dễ thương",2026-04-22 20:56:01.300168
41,83,2,4,Đồ ăn nóng hổi ngon miệng,2026-05-08 01:23:01.300168
42,78,5,5,Hơi ít so với hình nhưng ngon,2026-05-04 08:34:01.300168
43,38,2,4,"Ăn vừa vị, giá cả hợp lý",2026-04-20 21:57:01.300168
44,41,5,4,Hơi ít so với hình nhưng ngon,2026-05-04 13:16:01.300168
45,49,10,4,Đồ ăn nóng hổi ngon miệng,2026-05-01 09:33:01.300168
46,83,8,3,"Ăn vừa vị, giá cả hợp lý",2026-04-20 12:54:01.300168
47,78,2,3,Đóng gói cẩn thận sạch sẽ,2026-05-14 23:41:01.300168
48,49,4,4,Đồ ăn nóng hổi ngon miệng,2026-04-27 00:14:01.300168
49,50,9,3,"Ăn vừa vị, giá cả hợp lý",2026-05-06 10:48:01.300168
50,98,3,3,Đồ ăn nóng hổi ngon miệng,2026-05-13 19:45:01.300168
51,38,9,5,"Giao siêu nhanh, shipper dễ thương",2026-05-08 02:14:01.300168
52,48,9,3,Đồ ăn nóng hổi ngon miệng,2026-05-13 13:11:01.300168
53,90,3,5,Đồ ăn nóng hổi ngon miệng,2026-04-28 03:31:01.300168
54,51,7,4,"Ăn vừa vị, giá cả hợp lý",2026-04-21 22:41:01.300168
55,30,7,4,"Giao siêu nhanh, shipper dễ thương",2026-05-13 01:24:01.300168
56,12,4,4,Đóng gói cẩn thận sạch sẽ,2026-05-08 07:56:01.300168
57,74,2,4,Đóng gói cẩn thận sạch sẽ,2026-04-27 08:07:01.300168
58,65,6,5,Đồ ăn nóng hổi ngon miệng,2026-04-22 21:10:01.300168
59,48,9,4,"Ăn vừa vị, giá cả hợp lý",2026-05-13 22:58:01.300168
60,66,4,4,Đóng gói cẩn thận sạch sẽ,2026-04-30 05:34:01.300168
61,69,7,4,Hơi ít so với hình nhưng ngon,2026-05-10 15:42:01.300168
62,76,9,3,Đóng gói cẩn thận sạch sẽ,2026-05-08 05:47:01.300168
63,42,7,3,Đóng gói cẩn thận sạch sẽ,2026-05-01 12:22:01.300168
64,74,9,4,Đóng gói cẩn thận sạch sẽ,2026-05-16 18:59:01.300168
65,43,5,5,Đóng gói cẩn thận sạch sẽ,2026-04-25 03:55:01.300168
66,93,4,5,"Ăn vừa vị, giá cả hợp lý",2026-05-11 01:27:01.300168
67,92,2,3,Đồ ăn nóng hổi ngon miệng,2026-05-18 16:49:01.300168
