detail_id,order_id,item_id,quantity,note
1,1,30,3,Nhiều hành
2,1,29,1,
3,2,10,3,Nhiều hành
4,2,11,3,Nhiều hành
5,2,12,3,
6,3,3,1,Nhiều hành
7,3,2,2,Ít cay
8,3,1,2,Đóng gói kỹ
9,4,20,1,
10,4,21,3,
11,5,14,2,
12,5,13,1,
13,6,26,2,Nhiều hành
14,6,27,2,
15,6,25,2,
16,7,1,1,
17,8,13,1,
18,9,8,1,Ít cay
19,9,7,2,
20,10,24,3,
21,10,23,1,
22,10,22,2,
23,11,21,3,
24,12,18,1,
25,12,17,2,
26,12,16,2,
27,13,3,2,
28,13,2,1,
29,14,29,1,
30,14,28,3,
31,15,25,1,
32,15,27,1,Ít cay
33,16,18,3,
34,17,21,2,
35,17,19,3,Đóng gói kỹ
36,17,20,2,
37,18,9,3,Đóng gói kỹ
38,18,7,3,Đóng gói kỹ
39,19,22,3,
40,19,24,3,
41,19,23,2,Nhiều hành
42,20,8,3,
43,20,7,2,
44,21,4,3,Đóng gói kỹ
45,21,5,1,
46,22,2,2,
47,22,3,2,
48,22,1,1,
49,23,9,3,
50,23,8,3,
51,23,7,1,
52,24,24,2,
53,24,22,3,
54,25,20,3,Đóng gói kỹ
55,25,19,1,Đóng gói kỹ
56,25,21,1,
57,26,22,2,Nhiều hành
58,26,24,1,Đóng gói kỹ
59,26,23,2,
60,27,13,2,
61,28,11,1,Đóng gói kỹ
62,28,12,1,Ít cay
63,29,23,2,
64,29,24,1,Nhiều hành
65,30,17,3,
66,30,18,1,
67,31,14,2,
68,31,15,1,
69,32,23,3,
70,32,22,3,Ít cay
71,33,19,3,Đóng gói kỹ
72,33,20,3,
73,34,22,1,
74,35,23,2,
75,35,24,3,
76,35,22,1,
77,36,18,2,
78,36,17,2,Nhiều hành
79,36,16,2,
80,37,3,1,
81,37,1,2,
82,37,2,3,
83,38,22,1,Đóng gói kỹ
84,38,23,3,Nhiều hành
85,39,15,3,
86,39,14,1,Đóng gói kỹ
87,39,13,1,Nhiều hành
88,40,5,2,Nhiều hành
89,40,4,3,
90,41,24,1,Nhiều hành
91,42,30,3,
92,42,28,2,
93,42,29,3,
94,43,6,2,Đóng gói kỹ
95,43,5,1,Đóng gói kỹ
96,44,22,2,
97,44,23,1,Đóng gói kỹ
98,44,24,1,Ít cay
99,45,19,1,Ít cay
100,46,24,2,
101,47,6,2,
102,47,4,2,
103,47,5,1,Ít cay
104,48,12,3,
105,49,13,1,Nhiều hành
106,50,30,3,
