cart_id,user_id,item_id,quantity
1,2,4,1
2,3,15,1
3,3,26,1
4,4,25,2
5,4,24,2
6,4,13,2
7,5,15,2
8,5,24,1
9,6,28,1
10,7,7,2
11,7,8,1
12,9,8,2
13,10,28,1
14,10,19,1
15,10,22,1
16,15,28,1
17,15,13,1
18,15,3,2
19,16,20,1
20,16,11,2
21,16,16,2
22,17,11,2
23,18,20,2
24,18,8,2
25,18,2,1
26,19,4,1
27,19,21,2
28,19,3,2
29,20,11,2
30,20,14,1
31,21,3,2
32,22,28,2
33,23,6,1
34,24,25,1
35,25,4,1
36,25,29,1
37,25,20,1
38,26,22,1
39,29,19,1
40,31,14,1
41,31,26,2
42,31,27,1
43,32,17,1
44,32,29,2
45,33,6,1
46,34,10,2
47,35,30,2
48,36,10,2
49,36,2,2
50,36,19,2
51,37,10,1
52,38,28,1
53,38,23,1
54,38,9,2
55,39,19,2
56,40,27,2
57,40,16,2
58,41,1,1
59,41,18,1
60,41,15,1
61,42,5,2
62,42,21,2
63,43,6,2
64,43,22,1
65,43,24,1
66,47,30,1
67,48,6,2
68,48,17,2
69,49,26,1
70,49,6,2
71,49,20,1
72,50,21,2
73,51,15,2
74,51,12,1
75,51,26,2
76,54,4,2
77,54,27,2
78,54,17,1
79,55,23,2
80,55,29,2
81,56,25,2
82,58,7,1
83,58,18,2
84,58,8,1
85,60,17,2
86,60,26,1
87,60,14,2
88,61,30,2
89,62,28,2
90,62,30,1
91,63,28,2
92,63,26,2
93,64,13,1
94,64,11,1
95,66,6,1
96,66,24,2
97,67,22,2
98,67,23,1
99,69,23,2
100,69,3,1
101,69,9,2
102,70,27,2
103,70,23,1
104,70,15,1
105,71,4,1
106,71,11,2
107,71,7,2
108,73,12,2
109,73,10,2
110,73,30,2
111,74,3,2
112,74,16,2
113,74,19,1
114,75,10,2
115,75,27,1
116,76,14,2
117,76,11,2
118,76,3,1
119,77,24,1
120,77,6,2
121,77,18,1
122,79,28,2
123,79,16,2
124,80,16,2
125,81,29,2
126,81,2,2
127,82,15,2
128,82,23,1
129,83,21,2
130,83,15,2
131,83,17,2
132,85,15,1
133,85,4,1
134,86,14,2
135,86,5,2
136,86,7,2
137,87,15,2
138,87,10,2
139,87,13,2
140,88,30,1
141,88,13,1
142,89,20,1
143,89,4,2
144,89,28,2
145,95,12,1
146,96,8,1
147,96,17,1
148,96,27,1
149,97,28,1
150,99,27,2
